OID;Budas;Name_1;SymbolID_1;Laikotarpis;Įvykiai;Žuvusieji;Sužeistieji;IP;Atlikimo_data;Aprašymas;Planuojama
-1;Juodosios dėmės sankryžose 2016;K. Baršausko ir R. Kalantos g.;0;2012 - 2015 ;9;0;11;TAIP;2016; Įrengti didesnio atspindžio kelių eismo ženklai pėsčiųjų perėjose. ;Sankryžoje su Kovo 11-osios g. įrengtos išmaniosios perėjos. Pakeistas eismo organizavimas žiede. Įrengti išankstiniai informatyvūs eismo krypčių juostose kelio ženklai.
-1;Juodosios dėmės sankryžose 2016;Taikos pr. ir Pramonės pr.;0;2012 - 2015 ;4;0;4;TAIP;2016;Įrengti didesnio atspindžio kelių eismo ženklai perėjose., pėsčiųjų perėjų kryptinis apšvietimas.;Eismo organizavimo žiede pakeitimas (III ketvirtis)
-1;Juodosios dėmės sankryžose 2016;R. Kalantos g. ir Jėgainės g.;0;2012 - 2015 ;6;1;5;TAIP;2016;; Įrengta reguliuojama pėsčiųjų perėja
-1;Juodosios dėmės sankryžose 2016;R. Kalantos ir Naglio g.;2;2012 - 2015 ;5;0;6;TAIP;2016;;Reguliuojama pėsčiųjų perėja 2018 m.
-1;Juodosios dėmės sankryžose 2016;R. Kalantos g. ir Ateities pl.;0;2012 - 2015 ;5;0;5;TAIP;2016; Įrengta saugumo salelė pėsčiųjų perėjoje, kryptinis perėjos apšvietimas;
-1;Juodosios dėmės sankryžose 2016;Šiaurės pr ir S. Žukausko g.;0;2012 - 2015 ;5;1;4;TAIP;2016;Pasikartojančių eismo įvykių priežasčių nenustatyta. Sankryža stebima.;Apsauginiais stulpeliais susiaurinti išvažiavimai iš žiedo ties pėsčiųjų perėjomis. Numatyta įrengti trūkstamą  kryptinį apšvietimą pėsčiųjų perėjoje per S. Žukausko g. prieš žiedinę sankryžą.
-1;Juodosios dėmės sankryžose 2016;R. Kalantos ir T. Masiulio g.;0;2012 - 2015 ;5;0;5;TAIP;2016;Įrengtas pėsčiųjų perėjų apšvietimas, didesnio atspindžio kelių eismo ženklai, saugumo salelės.;Pėsčiųjų perėjos perkėlimas. (III ketvirtis)
-1;2017 m. nustatytos juodosios dėmės;Raudondvario pl./Brastos g.;3;2013 - 2016 ;5;0;6;;2016;;
-1;2017 m. nustatytos juodosios dėmės;Raudondvario pl. /Kėdainių g.;3;2013 - 2016 ;5;0;5;;;;Sankryžos rekonstrukcija 2018 m.
-1;2017 m. nustatytos juodosios dėmės;Linkuvos g./A. Stulginskio g.;4;2013 - 2016 ;4;0;4;;2017;;Pėsčiųjų perėja perkelta į kitą sankryžos pusę.
-1;2017 m. nustatytos juodosios dėmės;Neries krantinė;4;2013 - 2016 ;4;0;4;TAIP;2017;Pakeistas važiuojamosios dalies horizontalusis ženklinimas;
-1;2017 m. nustatytos juodosios dėmės;Šv. Gertrūdos/Gimnazijos;3;2013 - 2016 ;4;0;8;;;;
-1;2017 m. nustatytos juodosios dėmės;A. Mackevičiaus/Telšių;4;2013 - 2016 ;4;0;4;TAIP;2017; Įrengtas greičio mažinimo kalnelis  šalutiniame kelyje prieš sankryžą;
-1;Juodosios dėmės ruožuose 2016;Karaliaus Mindaugo pr.;0;2012 - 2015 ;4;0;5;TAIP;2016; Įrengta reguliuojama Karaliaus Mindaugo ir Maironio g. sankryža. Pakeistas horizontalus ženklinimas, panaikinta apsisukimo vieta.;
-1;2017 m. nustatytos juodosios dėmės;M.K. Čiurlionio g./Vytauto pr.;4;2013 - 2016 ;4;0;4;;;;
-1;2017 m. nustatytos juodosios dėmės;Taškas 10;4;2013 - 2016 ;4;0;9;TAIP;2017; Įrengta pėsčiųjų saugumo salelė didesnio atspindžio kelio ženklai, pagerintas pėsčiųjų perėjos apšvietimas.;
-1;2017 m. nustatytos juodosios dėmės;Vaidoto g.;3;2013 - 2016 ;4;0;4;;;;
-1;2017 m. nustatytos juodosios dėmės;Vaidoto g.;3;2013 - 2016 ;4;0;4;;;;
-1;2017 m. nustatytos juodosios dėmės;L. Ivinskio g. /Skuodo g.;4;2013 - 2016 ;6;0;11;TAIP;2017;Įrengti STOP ženklai, horizontalus ženklinimas, pašalinti matomumą mažinantys želdiniai;
-1;2017 m. nustatytos juodosios dėmės;Kovo 11-osios g. / Chemijos g.;4;2013 - 2016 ;4;0;4;TAIP;2017;Įrengti pėsčiųjų saugumo atitvarai;
-1;2017 m. nustatytos juodosios dėmės;Pašilės g.;4;2013 - 2016 ;7;0;7;TAIP;2017;Įrengtas kryptinis perėjų apšvietimas. Pakeista pėsčiųjų perėjų vieta, įrengti saugumo atitvarai. Planuojama įrengti iškiliąsias perėjas;
-1;2017 m. nustatytos juodosios dėmės;Kovo 11osios g.;4;2013 - 2016;5;1;4;TAIP;2017;Įrengta išmanioji pėsčiųjų perėja;
-1;2017 m. nustatytos juodosios dėmės;V. Krėvės g.;3;2013 - 2016 ;5;0;6;;;;Šviesoforo rekonstrukcija. 2018 m
-1;Juodosios dėmės ruožuose 2016;Pramonės pr.;0;2012 - 2015 ;5;0;6;TAIP;2016;;Įrengta didesnio sukibimo danga prie perėjos
-1;Juodosios dėmės ruožuose 2016;P. Lukšio g.;0;2012 - 2015 ;4;0;4;TAIP;2016;Horizontalus ženklinimas ""Korys"";
-1;Juodosios dėmės ruožuose 2016;P. Lukšio g.;0;2012 - 2015 ;4;0;4;TAIP;2016;Horizontalus ženklinimas ""Korys"";
-1;2017 m. nustatytos juodosios dėmės;Sukilėlių pr. /Žeimenos g.;4;2013 - 2016 ;4;0;4;TAIP;2017;Rekonstruota šviesoforinė sankryža. Perėja iškelta už sankryžos ribų.;
-1;2017 m. nustatytos juodosios dėmės;A. Baranausko g. / Varpo g.;3;2013 - 2016 ;4;0;4;;;;Reguliuojamos pėsčiųjų perėjos įrengimas 2018 m.
-1;2017 m. nustatytos juodosios dėmės;Žeimenos g. / Kalniečių g.;3;2013 - 2016 ;5;0;5;;;;
-1;2017 m. nustatytos juodosios dėmės;Baltų g./Romainių g.;3;2013 - 2016 ;4;0;4;;;;
-1;Juodosios dėmės ruožuose 2016;Sukilėlių pr.;0;2012 - 2015 ;5;0;5;TAIP;2016;Uždrausti kairieji posūkiai ties pėsčiųjų perėja.;Reguliuojama pėsčiųjų perėja.
-1;2017 m. nustatytos juodosios dėmės;Taškas 25;4;2013 - 2016 ;4;0;4;TAIP;2017;Įrengta pėsčiųjų saugumo salelė perėjoje.;
-1;2017 m. nustatytos juodosios dėmės;Taškas 26;4;2013 - 2016 ;4;0;6;TAIP;2017;Pėsčiųjų perėjoje įrengta pėsčiųjų saugumo salelė važiuojamosios dalies viduryje, bei didesnio atspindžio kelių eismo ženlai;
