OID;GYV_KODAS;GTV_KODAS;GTV_PAV;GTV_PAV_PI;GYV_ID;GTV_ID;GTV_R;GTV_RK;GTV_ATR_KO;GAT_KODAS;SHAPE_STLength__
-1;17507;18680;Kelmynų g.;Kelmynų g.;6;2990;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1230486;141,373277154182972
-1;17507;18699;Kombinato g.;Kombinato g.;6;3190;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1825236;177,636410776397639
-1;17507;66596;Dobilios g.;Dobilios g.;6;9374;2006-03-09 00:00:00;2006-03-09 00:00:00;2011-07-08 00:00:00;1539655;616,153350412795021
-1;17507;16176;Pagirėnų g.;Pagirėnų g.;6;5052;1998-06-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1243296;279,551250781520025
-1;17507;16175;Šiaudinės g.;Šiaudinės g.;6;7265;1998-06-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1243281;394,256646889625245
-1;17507;16177;Kaštonų g.;Kaštonų g.;6;2935;1998-06-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1450912;343,813094433008644
-1;17507;16187;Vaitapilės g.;Vaitapilės g.;6;8148;1998-06-01 00:00:00;1998-08-03 00:00:00;2011-07-08 00:00:00;1243171;393,703953267812949
-1;17507;18880;E. Ožeškienės g.;E. Ožeškienės g.;6;5010;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1676596;605,739925282150921
-1;17507;18798;A. Mackevičiaus g.;A. Mackevičiaus g.;6;4190;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1672973;1207,413816776583417
-1;17507;18625;Jonavos g.;Jonavos g.;6;2430;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1230691;4714,639262216091993
-1;17507;18449;K. Baršausko g.;K. Baršausko g.;6;670;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-12-07 00:00:00;1339443;1804,159424185255148
-1;17507;18735;Krosnos g.;Krosnos g.;6;3560;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1230251;443,580442079868192
-1;17507;18737;Krūmų g.;Krūmų g.;6;3580;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1854428;164,019212755948189
-1;17507;18754;Laiptų g.;Laiptų g.;6;3750;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1691819;100,747641268930821
-1;17507;18802;Maišiagalos g.;Maišiagalos g.;6;4230;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1454717;82,289780593764661
-1;17507;18817;Medvėgalio g.;Medvėgalio g.;6;4380;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-12-07 00:00:00;1822127;380,219199612464934
-1;17507;18854;Naglio g.;Naglio g.;6;4750;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1672992;332,167615011306395
-1;17507;18861;Naumiesčio g.;Naumiesčio g.;6;4820;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1671996;108,261047919832961
-1;17507;18890;Pakuonio g.;Pakuonio g.;6;5110;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1673028;491,785401870851729
-1;17507;18910;Pažaislio g.;Pažaislio g.;6;5320;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1229338;404,379670134866785
-1;17507;18940;Prancūzų g.;Prancūzų g.;6;5620;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1822218;2147,263544561106301
-1;17507;18999;Rudaminos g.;Rudaminos g.;6;6220;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1670928;264,147597974443840
-1;17507;19068;Stakių g.;Stakių g.;6;6920;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228619;132,088374760860887
-1;17507;19069;Stakliškių g.;Stakliškių g.;6;6930;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1813623;62,201950649445763
-1;17507;19085;Svirbygalos g.;Svirbygalos g.;6;7090;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228441;507,077278180076689
-1;17507;19089;Šaltinių g.;Šaltinių g.;6;7130;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1444136;95,377448970032646
-1;17507;19102;Šiaulių g.;Šiaulių g.;6;7260;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1307248;674,966188449420656
-1;17507;19149;Trakiškių g.;Trakiškių g.;6;7730;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1672036;262,936896543805972
-1;17507;19179;Ūkio g.;Ūkio g.;6;8030;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228126;43,013723674320687
-1;17507;18884;Pagėgių g.;Pagėgių g.;6;5050;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1229524;467,918780597783666
-1;17507;28330;J. Tysliavos g.;J. Tysliavos g.;6;7695;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1163823;181,338510445660177
-1;17507;18958;V. Putvinskio g.;V. Putvinskio g.;6;5810;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1463096;841,722304713632298
-1;17507;19227;Vienybės a.;Vienybės a.;6;8530;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1465854;423,210932998408509
-1;17507;18432;Aušros tak.;Aušros tak.;6;490;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1825733;207,481917786340802
-1;17507;19265;L. Zamenhofo g.;L. Zamenhofo g.;6;8910;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1437449;186,278737111610099
-1;17507;18804;A. Mapu g.;A. Mapu g.;6;4250;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1229945;235,353239211117085
-1;17507;19209;Vašoklių g.;Vašoklių g.;6;8340;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1851801;83,451732891630627
-1;17507;19092;Šatrijos g.;Šatrijos g.;6;7160;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1666838;93,947601687053677
-1;17507;19119;K. Šklėrio g.;K. Šklėrio g.;6;7430;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1437358;76,948570984510809
-1;17507;18894;Paminklų g.;Paminklų g.;6;5160;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1229448;122,087225732601595
-1;17507;18990;M. Riomerio g.;M. Riomerio g.;6;6130;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228991;308,799692544917662
-1;17507;18818;Medžiotojų g.;Medžiotojų g.;6;4390;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1315371;341,608858999300082
-1;17507;19046;Slėnio g.;Slėnio g.;6;6700;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228767;1471,733218782395852
-1;17507;18917;K. Petrausko g.;K. Petrausko g.;6;5390;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1670856;1170,909221504122797
-1;17507;18781;Limos tak.;Limos tak.;6;4020;1998-06-01 00:00:00;1998-06-01 00:00:00;2014-03-14 00:00:00;1679523;177,977293152393884
-1;17507;18878;Obuolių g.;Obuolių g.;6;4990;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1229672;175,322602463693698
-1;17507;16206;Stangviliškių g.;Stangviliškių g.;6;6942;1998-06-01 00:00:00;1998-08-03 00:00:00;2011-07-08 00:00:00;1456796;507,538355214147884
-1;17507;18544;Gailutės g.;Gailutės g.;6;1620;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1231262;896,454924781842465
-1;17507;19224;Viduklės g.;Viduklės g.;6;8500;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1854079;453,307627322732856
